
郭靖	金刀駙馬	北俠	射鵰大俠	郭大俠	郭伯伯	靖哥哥		
黃蓉	黃幫主	蓉兒	郭伯母	郭夫人
楊康	小王爺	完顏康						
穆念慈	穆姑娘							
黃藥師	黃老邪	黃島主	東邪					
歐陽鋒	老毒物	西毒						
一燈大師	段智興	段皇爺	南帝	南僧				
洪七公	洪幫主	老叫化	北丐	九指神丐				
王重陽	王害瘋	中神通	重陽祖師					
周伯通	老頑童	中頑童						
馬鈺	丹陽子							
譚處端	長真子							
劉處玄	長生子							
丘處機	長春子							
王處一	玉陽子	鐵腳仙						
郝大通	廣寧子							
孫不二	清靜散人							
尹志平								
李志常								
張志敬								
王志坦								
祁志誠								
張志仙								
趙志敬	趙道長							
程瑤迦								
歐陽克	歐陽公子							
上官劍南								
裘千仞	裘鐵掌	鐵掌水上飄	慈恩					
裘千丈								
喬寨主								
黃夫人	馮衡							
曲靈風								
陳玄風	銅屍	黑風雙煞						
梅超風	黑風雙煞	臭婆娘	賊婆娘	梅若華	鐵屍			
陸乘風								
武罡風								
馮默風								
曲傻姑	傻姑	曲菲兒						
陸冠英								
魯有腳	魯幫主	魯長老						
彭長老								
簡長老								
梁長老								
黎生								
余兆興								
瑛姑	神算子	劉瑛	大理王妃	劉貴妃				
點蒼漁隱								
樵夫								
武三通	武三叔							
朱子柳								
柯鎮惡	飛天蝙蝠							
朱聰	妙手書生							
韓寶駒	馬王神							
南希仁	南山樵子							
張阿生	笑彌陀							
全金發	鬧市俠隱							
韓小瑩	越女劍							
郭嘯天								
李萍								
楊鐵心	穆易							
包惜弱								
鐵木真	成吉思汗							
拖雷								
華箏								
木華黎								
博爾術								
博爾忽								
赤老溫								
窩闊台								
者勒米								
忽都虎								
哲別								
術赤								
察合台								
王罕								
劄木合								
桑昆								
都史								
莫圖根								
速不台								
完顏洪烈	顏烈							
完顏洪熙								
梁子翁	蔘仙老怪							
靈智上人								
彭連虎	千手人屠							
侯通海								
沙通天	鬼門龍王							
沈青剛								
吳青烈								
馬青雄								
錢青健								
湯祖德								
張十五								
柯辟邪								
簡管家								
王彥章								
摩訶末								
楊過	神雕大俠	神雕俠	傻蛋	過兒	楊大哥	大哥哥	楊郎	西狂
秦南琴								
黃裳								
段天德								
韓侘胄								
蓋運聰								
姜文								
王道乾								
史彌遠								
呂文德								
石彥明								
焦木大師								
枯木大師								
獨孤求敗	獨孤前輩							
小龍女	龍兒	姑姑	龍姑娘					
郭芙	芙兒	郭大姑娘						
郭襄	襄兒	小東邪	郭二姑娘					
李莫愁	赤練仙子	李道長						
金輪法王	蒙古國師	法王						
霍都	何師我							
公孫止	公孫谷主							
裘千尺	女谷主							
程英	表姊							
陸無雙	表妹	媳婦兒					
公孫綠萼	綠萼							
武敦儒								
武修文								
耶律齊								
耶律燕								
完顏萍	完顏姊姊							
孫婆婆								
洪凌波								
天竺神僧								
武三娘								
達爾巴								
瀟湘子								
尹克西								
尼摩星								
馬光佐								
樊一翁	長鬚鬼							
陸展元								
何沅君	阿沅							
陸立鼎								
陸二娘								
林朝英	祖師婆婆							
耶律楚材								
蒙哥								
忽必烈								
郭破虜								
申志凡								
鹿清篤								
姬清虛								
皮清玄								
百草仙								
人廚子								
藍天和								
神雕	雕兄	雕伯伯						
史伯威								
史孟捷								
史叔剛								
史仲猛								
史季強								
大頭鬼								
俏鬼								
無常鬼								
喪門鬼								
吊死鬼								
催命鬼								
討債鬼								
笑臉鬼								
煞神鬼								
青靈子								
聾啞頭陀								
趙老爵爺								
曇華大師	佛光寺方丈							
天鳴禪師								
聖因師太	聖因							
九死生								
狗肉頭陀								
韓無垢								
張一氓								
童大海	千斤鼎							
